"","link","author","Auteur","source"
"122","https://catalogue.bnf.fr/ark:/12148/cb30526933j","Olympe de Gouges","Gouges, Olympe de (1748-1793). Auteur du texte","bnf"
"123","https://catalogue.bnf.fr/ark:/12148/cb36057180p","Olympe de Gouges","Gouges, Olympe de (1748-1793). Auteur du texte","bnf"
"124","https://catalogue.bnf.fr/ark:/12148/cb30238973z","Laclos","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte","bnf"
"125","https://catalogue.bnf.fr/ark:/12148/cb31943147j","Laclos","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte","bnf"
"126","https://catalogue.bnf.fr/ark:/12148/cb30238970x","Laclos","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte","bnf"
"127","https://catalogue.bnf.fr/ark:/12148/cb30951912p","Mirabeau","Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte","bnf"
"128","https://catalogue.bnf.fr/ark:/12148/cb42246320t","Marat","Marat, Jean-Paul (1743-1793). Auteur du texte","bnf"
"129","https://catalogue.bnf.fr/ark:/12148/cb343894293","Marat","Marat, Jean-Paul (1743-1793). Auteur du texte","bnf"
"130","https://catalogue.bnf.fr/ark:/12148/cb32798213j","Marat","Marat, Jean-Paul (1743-1793). Auteur du texte","bnf"
"131","https://catalogue.bnf.fr/ark:/12148/cb308755463","Marat","Marat, Jean-Paul (1743-1793). Auteur du texte","bnf"
"132","https://catalogue.bnf.fr/ark:/12148/cb34430869d","Marat","Marat, Jean-Paul (1743-1793). Auteur du texte","bnf"
"133","https://catalogue.bnf.fr/ark:/12148/cb32691640p","Marat","Marat, Jean-Paul (1743-1793). Auteur du texte","bnf"
"134","https://catalogue.bnf.fr/ark:/12148/cb32415703q","Marat","Marat, Jean-Paul (1743-1793). Auteur du texte","bnf"
"135","https://catalogue.bnf.fr/ark:/12148/cb309517829","Mirabeau","Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte","bnf"
